CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Lighter_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:19:55"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
86	G8	  145.00	  145.00	  145.00	 0.33864	 0.33285	 0.22400	   64.39	    6.26	    9.11	
87	G9	    0.00	    0.00	    0.00	 0.00295	 0.00301	 0.00258	    2.72	    0.17	   -0.18	
88	G10	   75.00	   75.00	   75.00	 0.11811	 0.10995	 0.06616	   39.57	    8.78	    9.58	
89	G11	   45.00	   45.00	   45.00	 0.04965	 0.04490	 0.02562	   25.23	    8.30	    8.23	
90	G12	  160.00	  160.00	  160.00	 0.39478	 0.39136	 0.26963	   68.85	    5.54	    8.54	
91	G13	  130.00	  130.00	  130.00	 0.28314	 0.27554	 0.18177	   59.48	    6.98	    9.36	
92	H1	  160.00	  160.00	  160.00	 0.40161	 0.39799	 0.27469	   69.33	    5.62	    8.51	
93	H2	  170.00	  170.00	  170.00	 0.44174	 0.44099	 0.31340	   72.29	    4.87	    7.40	
94	H3	  120.00	  120.00	  120.00	 0.25295	 0.24430	 0.15834	   56.52	    7.51	    9.67	
95	H4	  115.00	  115.00	  115.00	 0.23667	 0.22768	 0.14697	   54.83	    7.75	    9.60	
96	H5	    0.00	    0.00	    0.00	 0.00290	 0.00297	 0.00242	    2.69	    0.13	    0.05	
