CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Darkest_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:25:09"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
75	F10	  170.00	  170.00	  170.00	 0.35448	 0.34941	 0.23857	   65.70	    6.02	    8.62	
76	F11	  140.00	  140.00	  140.00	 0.23443	 0.22575	 0.14578	   54.63	    7.62	    9.56	
77	F12	   20.00	   20.00	   20.00	 0.00792	 0.00740	 0.00499	    6.68	    3.17	    2.11	
78	F13	   40.00	   40.00	   40.00	 0.01852	 0.01678	 0.00990	   13.70	    5.91	    5.41	
79	G1	  185.00	  185.00	  185.00	 0.42524	 0.42389	 0.29771	   71.14	    4.99	    7.86	
80	G2	  150.00	  150.00	  150.00	 0.27199	 0.26416	 0.17308	   58.43	    7.10	    9.50	
81	G3	   80.00	   80.00	   80.00	 0.06942	 0.06366	 0.03653	   30.32	    8.36	    9.11	
82	G4	   65.00	   65.00	   65.00	 0.04423	 0.03991	 0.02273	   23.64	    8.11	    7.95	
83	G5	  185.00	  185.00	  185.00	 0.42446	 0.42323	 0.29852	   71.09	    4.96	    7.65	
84	G6	  110.00	  110.00	  110.00	 0.14218	 0.13334	 0.08162	   43.26	    8.72	    9.68	
85	G7	  250.00	  250.00	  250.00	 0.79671	 0.83193	 0.70231	   93.10	   -1.07	   -1.43	
86	G8	  145.00	  145.00	  145.00	 0.25377	 0.24556	 0.15921	   56.64	    7.32	    9.68	
87	G9	    0.00	    0.00	    0.00	 0.00298	 0.00305	 0.00264	    2.75	    0.17	   -0.23	
88	G10	   75.00	   75.00	   75.00	 0.06039	 0.05504	 0.03179	   28.12	    8.37	    8.53	
89	G11	   45.00	   45.00	   45.00	 0.02229	 0.02009	 0.01163	   15.53	    6.52	    6.05	
90	G12	  160.00	  160.00	  160.00	 0.31107	 0.30442	 0.20400	   62.03	    6.57	    9.02	
91	G13	  130.00	  130.00	  130.00	 0.20017	 0.19118	 0.12097	   50.82	    8.02	    9.76	
92	H1	  160.00	  160.00	  160.00	 0.31361	 0.30686	 0.20505	   62.24	    6.61	    9.16	
93	H2	  170.00	  170.00	  170.00	 0.35624	 0.35108	 0.23896	   65.83	    6.05	    8.77	
94	H3	  120.00	  120.00	  120.00	 0.17122	 0.16177	 0.10074	   47.21	    8.60	    9.76	
95	H4	  115.00	  115.00	  115.00	 0.15604	 0.14685	 0.09060	   45.20	    8.68	    9.75	
96	H5	    0.00	    0.00	    0.00	 0.00292	 0.00298	 0.00256	    2.69	    0.22	   -0.20	
97	H6	  110.00	  110.00	  110.00	 0.14208	 0.13322	 0.08147	   43.24	    8.73	    9.71	
98	H7	   50.00	   50.00	   50.00	 0.02684	 0.02416	 0.01392	   17.53	    6.98	    6.53	
99	H8	  135.00	  135.00	  135.00	 0.21759	 0.20864	 0.13336	   52.80	    7.85	    9.68	
100	H9	  225.00	  225.00	  225.00	 0.64539	 0.66316	 0.52883	   85.16	    1.35	    1.98	
101	H10	   10.00	   10.00	   10.00	 0.00478	 0.00466	 0.00358	    4.21	    1.15	    0.50	
102	H11	  100.00	  100.00	  100.00	 0.11463	 0.10649	 0.06430	   38.98	    8.86	    9.38	
103	H12	  125.00	  125.00	  125.00	 0.18609	 0.17670	 0.11115	   49.09	    8.37	    9.71	
104	H13	  155.00	  155.00	  155.00	 0.29328	 0.28601	 0.19024	   60.43	    6.83	    9.14	
105	I1	  210.00	  210.00	  210.00	 0.55900	 0.56852	 0.43506	   80.10	    2.71	    4.11	
106	I2	  230.00	  230.00	  230.00	 0.66992	 0.69059	 0.55709	   86.53	    0.89	    1.33	
107	I3	  100.00	  100.00	  100.00	 0.11492	 0.10694	 0.06407	   39.06	    8.73	    9.61	
108	I4	   30.00	   30.00	   30.00	 0.01325	 0.01205	 0.00741	   10.59	    5.14	    4.28	
109	I5	  165.00	  165.00	  165.00	 0.33331	 0.32763	 0.22213	   63.97	    6.22	    8.74	
110	I6	  180.00	  180.00	  180.00	 0.40093	 0.39792	 0.27670	   69.32	    5.43	    8.16	
111	I7	  135.00	  135.00	  135.00	 0.21748	 0.20874	 0.13355	   52.81	    7.76	    9.65	
112	I8	   70.00	   70.00	   70.00	 0.05230	 0.04742	 0.02708	   25.99	    8.30	    8.36	
113	I9	   50.00	   50.00	   50.00	 0.02712	 0.02441	 0.01415	   17.65	    7.01	    6.45	
114	I10	  150.00	  150.00	  150.00	 0.27124	 0.26338	 0.17340	   58.36	    7.11	    9.30	
