CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800_Cold_ABW52x5_M2"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-07T15:45:02"

NUMBER_OF_FIELDS	46
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
19	   35.00	   35.00	   35.00	 0.01044	 0.01107	 0.01028	    9.85	   -0.80	   -1.79	    0.0092	    0.0098	    0.0102	    0.0105	    0.0103	    0.0110	    0.0119	    0.0125	    0.0129	    0.0132	    0.0136	    0.0136	    0.0136	    0.0128	    0.0119	    0.0121	    0.0123	    0.0105	    0.0092	    0.0097	    0.0105	    0.0106	    0.0102	    0.0098	    0.0099	    0.0105	    0.0113	    0.0130	    0.0149	    0.0159	    0.0158	    0.0152	    0.0141	    0.0144	    0.0170	    0.0225	
20	  235.00	  235.00	  235.00	 0.67051	 0.70148	 0.60209	   87.07	   -1.29	   -2.34	    0.4298	    0.4583	    0.4781	    0.4906	    0.5652	    0.6780	    0.7195	    0.7360	    0.7547	    0.7759	    0.7817	    0.7618	    0.7432	    0.7293	    0.7190	    0.7145	    0.7109	    0.6966	    0.6812	    0.6813	    0.6841	    0.6856	    0.6846	    0.6847	    0.6881	    0.6935	    0.7021	    0.7136	    0.7252	    0.7328	    0.7370	    0.7386	    0.7403	    0.7419	    0.7480	    0.7598	
21	   65.00	   65.00	   65.00	 0.03003	 0.03166	 0.03025	   20.70	   -0.85	   -3.17	    0.0205	    0.0219	    0.0228	    0.0234	    0.0266	    0.0322	    0.0351	    0.0371	    0.0388	    0.0396	    0.0397	    0.0400	    0.0401	    0.0376	    0.0343	    0.0349	    0.0355	    0.0299	    0.0250	    0.0264	    0.0294	    0.0303	    0.0293	    0.0282	    0.0290	    0.0309	    0.0339	    0.0386	    0.0438	    0.0466	    0.0459	    0.0440	    0.0415	    0.0409	    0.0474	    0.0602	
22	   15.00	   15.00	   15.00	 0.00464	 0.00489	 0.00439	    4.41	   -0.30	   -0.68	    0.0040	    0.0043	    0.0045	    0.0046	    0.0049	    0.0052	    0.0054	    0.0055	    0.0053	    0.0054	    0.0052	    0.0054	    0.0053	    0.0053	    0.0051	    0.0052	    0.0052	    0.0048	    0.0045	    0.0047	    0.0048	    0.0048	    0.0046	    0.0044	    0.0045	    0.0046	    0.0048	    0.0051	    0.0057	    0.0058	    0.0059	    0.0054	    0.0051	    0.0054	    0.0064	    0.0086	
23	   50.00	   50.00	   50.00	 0.01746	 0.01851	 0.01763	   14.69	   -0.96	   -2.59	    0.0122	    0.0130	    0.0136	    0.0139	    0.0159	    0.0188	    0.0205	    0.0216	    0.0226	    0.0228	    0.0231	    0.0234	    0.0235	    0.0220	    0.0202	    0.0206	    0.0208	    0.0175	    0.0148	    0.0156	    0.0172	    0.0176	    0.0169	    0.0162	    0.0167	    0.0177	    0.0195	    0.0224	    0.0257	    0.0275	    0.0271	    0.0257	    0.0240	    0.0235	    0.0271	    0.0361	
24	   35.00	   35.00	   35.00	 0.01009	 0.01073	 0.00977	    9.59	   -0.91	   -1.47	    0.0074	    0.0079	    0.0082	    0.0085	    0.0091	    0.0106	    0.0115	    0.0120	    0.0123	    0.0125	    0.0125	    0.0129	    0.0130	    0.0124	    0.0116	    0.0118	    0.0120	    0.0103	    0.0090	    0.0094	    0.0102	    0.0103	    0.0098	    0.0094	    0.0096	    0.0102	    0.0110	    0.0126	    0.0144	    0.0153	    0.0150	    0.0142	    0.0132	    0.0133	    0.0159	    0.0217	
25	   30.00	   30.00	   30.00	 0.00873	 0.00926	 0.00858	    8.36	   -0.79	   -1.65	    0.0066	    0.0071	    0.0074	    0.0076	    0.0084	    0.0095	    0.0101	    0.0104	    0.0108	    0.0111	    0.0110	    0.0111	    0.0112	    0.0106	    0.0100	    0.0102	    0.0102	    0.0089	    0.0078	    0.0082	    0.0088	    0.0089	    0.0086	    0.0082	    0.0083	    0.0087	    0.0095	    0.0107	    0.0121	    0.0130	    0.0126	    0.0120	    0.0111	    0.0118	    0.0143	    0.0188	
26	  175.00	  175.00	  175.00	 0.31279	 0.32732	 0.29254	   63.94	   -1.03	   -3.71	    0.2023	    0.2157	    0.2250	    0.2309	    0.2668	    0.3228	    0.3465	    0.3577	    0.3686	    0.3789	    0.3824	    0.3781	    0.3738	    0.3595	    0.3427	    0.3430	    0.3445	    0.3180	    0.2923	    0.2981	    0.3130	    0.3192	    0.3162	    0.3134	    0.3179	    0.3262	    0.3385	    0.3570	    0.3761	    0.3866	    0.3872	    0.3825	    0.3743	    0.3719	    0.3895	    0.4233	
27	  240.00	  240.00	  240.00	 0.70901	 0.74149	 0.63511	   88.99	   -1.26	   -2.26	    0.4516	    0.4815	    0.5024	    0.5155	    0.5962	    0.7166	    0.7599	    0.7763	    0.7957	    0.8185	    0.8243	    0.8025	    0.7819	    0.7680	    0.7583	    0.7534	    0.7493	    0.7370	    0.7237	    0.7233	    0.7243	    0.7250	    0.7242	    0.7246	    0.7280	    0.7331	    0.7414	    0.7520	    0.7626	    0.7701	    0.7748	    0.7772	    0.7801	    0.7832	    0.7882	    0.7962	
28	   35.00	   35.00	   35.00	 0.01049	 0.01112	 0.01030	    9.89	   -0.81	   -1.75	    0.0081	    0.0086	    0.0090	    0.0092	    0.0101	    0.0113	    0.0120	    0.0125	    0.0130	    0.0130	    0.0137	    0.0134	    0.0136	    0.0128	    0.0120	    0.0122	    0.0124	    0.0106	    0.0093	    0.0098	    0.0106	    0.0107	    0.0102	    0.0099	    0.0100	    0.0105	    0.0115	    0.0131	    0.0147	    0.0158	    0.0159	    0.0151	    0.0141	    0.0141	    0.0169	    0.0225	
