CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"Neutrals52x5.txt 6x6 Cnt260 DPI600 09-26-19  9-18PM 9800ABW_52x52"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2019-10-06T11:05:14"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
38	E2	    195.00  195.00  195.00   0.40746 0.40505 0.29413   69.83000 5.26000 6.17000   0.27830 0.29670 0.30950 0.31760 0.32680 0.33730 0.34430 0.35140 0.35910 0.36540 0.37190 0.38350 0.39380 0.38990 0.38090 0.38410 0.39020 0.37850 0.37130 0.39190 0.41820 0.43490 0.44380 0.45120 0.46010 0.46970 0.48040 0.49200 0.50150 0.50610 0.50750 0.50720 0.50880 0.51280 0.52170 0.53570
39	E3	    160.00  160.00  160.00   0.26219 0.25689 0.17875   57.74000 6.08000 7.03000   0.16960 0.18080 0.18870 0.19360 0.19880 0.20430 0.20790 0.21250 0.21750 0.22140 0.22660 0.23710 0.24590 0.24240 0.23490 0.23850 0.24420 0.23450 0.22880 0.24690 0.27050 0.28500 0.29140 0.29610 0.30190 0.30850 0.31660 0.32570 0.33360 0.33790 0.33910 0.33890 0.33920 0.34230 0.35160 0.36480
40	E4	    125.00  125.00  125.00   0.17139 0.16701 0.11651   47.88000 5.78000 6.00000   0.11220 0.11970 0.12480 0.12810 0.13090 0.13350 0.13550 0.13840 0.14160 0.14420 0.14790 0.15440 0.15930 0.15650 0.15120 0.15390 0.15810 0.15120 0.14730 0.16030 0.17700 0.18700 0.19120 0.19390 0.19770 0.20230 0.20790 0.21440 0.22040 0.22370 0.22470 0.22450 0.22510 0.22790 0.23400 0.24450
41	E5	    255.00  255.00  255.00   0.80263 0.82706 0.69314   92.89000 1.01000 -0.97000   0.65390 0.69710 0.72730 0.74630 0.77480 0.80860 0.82570 0.83900 0.85300 0.86440 0.86990 0.86600 0.85660 0.84760 0.83740 0.82670 0.82070 0.81520 0.80640 0.80480 0.80580 0.81260 0.82300 0.83690 0.85140 0.86430 0.87720 0.88790 0.89440 0.89640 0.89590 0.89530 0.89790 0.90010 0.90030 0.90340
42	E6	    130.00  130.00  130.00   0.18085 0.17624 0.12291   49.04000 5.88000 6.12000   0.11820 0.12610 0.13150 0.13500 0.13790 0.14060 0.14280 0.14610 0.14950 0.15230 0.15630 0.16280 0.16820 0.16510 0.15960 0.16240 0.16680 0.15960 0.15550 0.16910 0.18670 0.19730 0.20180 0.20470 0.20880 0.21350 0.21940 0.22620 0.23230 0.23580 0.23690 0.23690 0.23760 0.24020 0.24710 0.25720
43	E7	    205.00  205.00  205.00   0.45606 0.45646 0.33980   73.32000 4.59000 5.20000   0.31860 0.33970 0.35440 0.36360 0.37630 0.39060 0.39900 0.40700 0.41550 0.42270 0.42950 0.44020 0.44890 0.44420 0.43480 0.43720 0.44240 0.43090 0.42350 0.44240 0.46670 0.48260 0.49170 0.49990 0.50940 0.51950 0.53070 0.54240 0.55190 0.55670 0.55780 0.55750 0.55880 0.56310 0.57090 0.58260
44	E8	    235.00  235.00  235.00   0.64811 0.66072 0.52467   85.03000 2.50000 2.22000   0.49370 0.52640 0.54920 0.56350 0.58410 0.60790 0.62090 0.63210 0.64420 0.65350 0.66080 0.66540 0.66770 0.66140 0.65250 0.64970 0.65000 0.64140 0.63380 0.64380 0.65700 0.66870 0.67880 0.69020 0.70270 0.71450 0.72680 0.73830 0.74650 0.74970 0.75020 0.74950 0.75190 0.75510 0.75970 0.76710
45	E9	     50.00   50.00   50.00   0.06595 0.06590 0.05066   30.86000 2.52000 1.89000   0.05110 0.05450 0.05690 0.05840 0.05940 0.05970 0.05990 0.06060 0.06160 0.06240 0.06330 0.06440 0.06490 0.06370 0.06230 0.06290 0.06380 0.06200 0.06110 0.06450 0.06840 0.07050 0.07110 0.07150 0.07230 0.07350 0.07510 0.07700 0.07880 0.07960 0.07940 0.07930 0.07940 0.08080 0.08400 0.08840
46	F1	    160.00  160.00  160.00   0.26451 0.25900 0.18028   57.94000 6.17000 7.03000   0.17190 0.18330 0.19120 0.19620 0.20090 0.20620 0.20990 0.21430 0.21930 0.22310 0.22830 0.23910 0.24780 0.24440 0.23670 0.24020 0.24610 0.23610 0.23030 0.24880 0.27290 0.28760 0.29420 0.29880 0.30480 0.31150 0.31960 0.32880 0.33670 0.34100 0.34220 0.34230 0.34270 0.34590 0.35410 0.36790
47	F2	    120.00  120.00  120.00   0.15939 0.15536 0.10847   46.36000 5.62000 5.83000   0.10560 0.11260 0.11740 0.12050 0.12230 0.12420 0.12610 0.12880 0.13170 0.13450 0.13780 0.14360 0.14800 0.14550 0.14070 0.14320 0.14720 0.14080 0.13710 0.14920 0.16460 0.17390 0.17760 0.18020 0.18380 0.18800 0.19320 0.19960 0.20510 0.20850 0.20960 0.20930 0.20990 0.21170 0.21830 0.22830
